gini_Rank,State,Gini,GiniGroup
1,Utah,0.4063,Low (.4-.45)
2,Alaska,0.4081,Low (.4-.45)
3,New Hampshire,0.4304,Low (.4-.45)
4,Wyoming,0.436,Low (.4-.45)
5,Hawaii,0.442,Low (.4-.45)
6,Iowa,0.4451,Low (.4-.45)
7,Nebraska,0.4477,Low (.4-.45)
8,South Dakota,0.4495,Low (.4-.45)
9,Minnesota,0.4496,Low (.4-.45)
10,Wisconsin,0.4498,Low (.4-.45)
11,Maryland,0.4499,Low (.4-.45)
12,Idaho,0.4503,Medium (.46-.5)
13,Maine,0.4519,Medium (.46-.5)
14,Delaware,0.4522,Medium (.46-.5)
15,Indiana,0.4527,Medium (.46-.5)
16,North Dakota,0.4533,Medium (.46-.5)
17,Vermont,0.4539,Medium (.46-.5)
18,Kansas,0.455,Medium (.46-.5)
19,Nevada,0.4577,Medium (.46-.5)
20,Oregon,0.4583,Medium (.46-.5)
21,Colorado,0.4586,Medium (.46-.5)
22,Washington,0.4591,Medium (.46-.5)
23,Oklahoma,0.4645,Medium (.46-.5)
24,Missouri,0.4646,Medium (.46-.5)
25,Montana,0.4667,Medium (.46-.5)
26,Ohio,0.468,Medium (.46-.5)
27,Pennsylvania,0.4689,Medium (.46-.5)
28,Michigan,0.4695,Medium (.46-.5)
29,Virginia,0.4705,Medium (.46-.5)
30,West Virginia,0.4711,Medium (.46-.5)
31,Arizona,0.4713,Medium (.46-.5)
32,Arkansas,0.4719,Medium (.46-.5)
33,South Carolina,0.4735,Medium (.46-.5)
34,New Mexico,0.4769,Medium (.46-.5)
35,North Carolina,0.478,Medium (.46-.5)
36,Rhode Island,0.4781,Medium (.46-.5)
37,Massachusetts,0.4786,Medium (.46-.5)
38,Tennessee,0.479,Medium (.46-.5)
39,Texas,0.48,Medium (.46-.5)
40,Illinois,0.481,Medium (.46-.5)
41,New Jersey,0.4813,Medium (.46-.5)
42,Kentucky,0.4813,Medium (.46-.5)
43,Georgia,0.4813,Medium (.46-.5)
44,Mississippi,0.4828,Medium (.46-.5)
45,Alabama,0.4847,Medium (.46-.5)
46,Florida,0.4852,Medium (.46-.5)
48,California,0.4899,Medium (.46-.5)
49,Connecticut,0.4945,Medium (.46-.5)
50,Louisiana,0.499,Medium (.46-.5)
51,New York,0.5229,High (.51-.55)
52,District of Columbia,0.542,High (.51-.55)
